#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Evolution_Level,Sprite
76.0,Golem,Rock,Ground,495.0,80.0,120.0,130.0,55.0,65.0,45.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.0.png
77.0,Ponyta,Fire,,410.0,50.0,85.0,55.0,65.0,65.0,90.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.0.png
78.0,Rapidash,Fire,,500.0,65.0,100.0,70.0,80.0,80.0,105.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.0.png
79.0,Slowpoke,Water,Psychic,315.0,90.0,65.0,65.0,40.0,40.0,15.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.0.png
80.0,Slowbro,Water,Psychic,490.0,95.0,75.0,110.0,100.0,80.0,30.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.0.png
80.0,SlowbroMega Slowbro,Water,Psychic,590.0,95.0,75.0,180.0,130.0,80.0,30.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.0.png
81.0,Magnemite,Electric,Steel,325.0,25.0,35.0,70.0,95.0,55.0,45.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.0.png
82.0,Magneton,Electric,Steel,465.0,50.0,60.0,95.0,120.0,70.0,70.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.0.png
83.0,Farfetch'd,Normal,Flying,352.0,52.0,65.0,55.0,58.0,62.0,60.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.0.png
84.0,Doduo,Normal,Flying,310.0,35.0,85.0,45.0,35.0,35.0,75.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.0.png
85.0,Dodrio,Normal,Flying,460.0,60.0,110.0,70.0,60.0,60.0,100.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.0.png
86.0,Seel,Water,,325.0,65.0,45.0,55.0,45.0,70.0,45.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.0.png
87.0,Dewgong,Water,Ice,475.0,90.0,70.0,80.0,70.0,95.0,70.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.0.png
88.0,Grimer,Poison,,325.0,80.0,80.0,50.0,40.0,50.0,25.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.0.png
89.0,Muk,Poison,,500.0,105.0,105.0,75.0,65.0,100.0,50.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.0.png
90.0,Shellder,Water,,305.0,30.0,65.0,100.0,45.0,25.0,40.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.0.png
91.0,Cloyster,Water,Ice,525.0,50.0,95.0,180.0,85.0,45.0,70.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.0.png
92.0,Gastly,Ghost,Poison,310.0,30.0,35.0,30.0,100.0,35.0,80.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.0.png
93.0,Haunter,Ghost,Poison,405.0,45.0,50.0,45.0,115.0,55.0,95.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.0.png
94.0,Gengar,Ghost,Poison,500.0,60.0,65.0,60.0,130.0,75.0,110.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.0.png
94.0,GengarMega Gengar,Ghost,Poison,600.0,60.0,65.0,80.0,170.0,95.0,130.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.0.png
95.0,Onix,Rock,Ground,385.0,35.0,45.0,160.0,30.0,45.0,70.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.0.png
96.0,Drowzee,Psychic,,328.0,60.0,48.0,45.0,43.0,90.0,42.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.0.png
97.0,Hypno,Psychic,,483.0,85.0,73.0,70.0,73.0,115.0,67.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.0.png
98.0,Krabby,Water,,325.0,30.0,105.0,90.0,25.0,25.0,50.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.0.png
99.0,Kingler,Water,,475.0,55.0,130.0,115.0,50.0,50.0,75.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.0.png
100.0,Voltorb,Electric,,330.0,40.0,30.0,50.0,55.0,55.0,100.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.0.png
101.0,Electrode,Electric,,480.0,60.0,50.0,70.0,80.0,80.0,140.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.0.png
102.0,Exeggcute,Grass,Psychic,325.0,60.0,40.0,80.0,60.0,45.0,40.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.0.png
103.0,Exeggutor,Grass,Psychic,520.0,95.0,95.0,85.0,125.0,65.0,55.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.0.png
104.0,Cubone,Ground,,320.0,50.0,50.0,95.0,40.0,50.0,35.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.0.png
105.0,Marowak,Ground,,425.0,60.0,80.0,110.0,50.0,80.0,45.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.0.png
106.0,Hitmonlee,Fighting,,455.0,50.0,120.0,53.0,35.0,110.0,87.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.0.png
107.0,Hitmonchan,Fighting,,455.0,50.0,105.0,79.0,35.0,110.0,76.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.0.png
108.0,Lickitung,Normal,,385.0,90.0,55.0,75.0,60.0,75.0,30.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.0.png
109.0,Koffing,Poison,,340.0,40.0,65.0,95.0,60.0,45.0,35.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.0.png
110.0,Weezing,Poison,,490.0,65.0,90.0,120.0,85.0,70.0,60.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.0.png
111.0,Rhyhorn,Ground,Rock,345.0,80.0,85.0,95.0,30.0,30.0,25.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.0.png
112.0,Rhydon,Ground,Rock,485.0,105.0,130.0,120.0,45.0,45.0,40.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.0.png
113.0,Chansey,Normal,,450.0,250.0,5.0,5.0,35.0,105.0,50.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.0.png
114.0,Tangela,Grass,,435.0,65.0,55.0,115.0,100.0,40.0,60.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.0.png
115.0,Kangaskhan,Normal,,490.0,105.0,95.0,80.0,40.0,80.0,90.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.0.png
115.0,KangaskhanMega Kangaskhan,Normal,,590.0,105.0,125.0,100.0,60.0,100.0,100.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.0.png
116.0,Horsea,Water,,295.0,30.0,40.0,70.0,70.0,25.0,60.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.0.png
117.0,Seadra,Water,,440.0,55.0,65.0,95.0,95.0,45.0,85.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.0.png
118.0,Goldeen,Water,,320.0,45.0,67.0,60.0,35.0,50.0,63.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.0.png
119.0,Seaking,Water,,450.0,80.0,92.0,65.0,65.0,80.0,68.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.0.png
120.0,Staryu,Water,,340.0,30.0,45.0,55.0,70.0,55.0,85.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.0.png
121.0,Starmie,Water,Psychic,520.0,60.0,75.0,85.0,100.0,85.0,115.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.0.png
122.0,Mr. Mime,Psychic,Fairy,460.0,40.0,45.0,65.0,100.0,120.0,90.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.0.png
123.0,Scyther,Bug,Flying,500.0,70.0,110.0,80.0,55.0,80.0,105.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.0.png
124.0,Jynx,Ice,Psychic,455.0,65.0,50.0,35.0,115.0,95.0,95.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.0.png
125.0,Electabuzz,Electric,,490.0,65.0,83.0,57.0,95.0,85.0,105.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.0.png
126.0,Magmar,Fire,,495.0,65.0,95.0,57.0,100.0,85.0,93.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.0.png
127.0,Pinsir,Bug,,500.0,65.0,125.0,100.0,55.0,70.0,85.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.0.png
127.0,PinsirMega Pinsir,Bug,Flying,600.0,65.0,155.0,120.0,65.0,90.0,105.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.0.png
128.0,Tauros,Normal,,490.0,75.0,100.0,95.0,40.0,70.0,110.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.0.png
129.0,Magikarp,Water,,200.0,20.0,10.0,55.0,15.0,20.0,80.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.0.png
130.0,Gyarados,Water,Flying,540.0,95.0,125.0,79.0,60.0,100.0,81.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.0.png
130.0,GyaradosMega Gyarados,Water,Dark,640.0,95.0,155.0,109.0,70.0,130.0,81.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.0.png
131.0,Lapras,Water,Ice,535.0,130.0,85.0,80.0,85.0,95.0,60.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.0.png
